Name_cn,ID,Last_Name,Zi,Name_en,Affiliation,Dynasty,Birth_year,Death_year,Life_Span,Father,Father_ID,Native_place,Gender,Jun,Xian,Note,
苏林,36,苏,孝友,Su lin,魏,Wei,,,,,,陈留外黄,,陈留,外黄,曹魏学者，建安中任五官将文学。入魏任博士，给事中，封侯，官至散骑常侍,
隗禧,37,隗,子牙,Wei xi,魏,Wei,,,,,,京兆,,京兆,,曹魏学者,
马超,38,马,孟起,Ma chao,汉，蜀,Shu,176,222,47,马腾,187,扶风茂陵,,扶风,茂陵,马腾庶长子。为人轻剽剧勇，马腾降曹，马超留守凉州，封偏将军。211年曹操攻张鲁，马超疑其图己，起兵反。其父及亲族在邺者尽死。后败，投奔张鲁，又投刘备，仕蜀至骠骑将军，领凉州牧,
严苞,39,严,文通,Yan bao,汉，魏,Wei,,,,,,司隶冯翊,,司隶,冯翊,有才学，曹丕时为秘书丞,
曹休,40,曹,文烈,Cao xiu,魏,Wei,,228,,,,沛国谯,,沛国,谯,曹操族子：“此吾家千里驹也”，领虎豹骑。219年破吴兰于下辩。曹魏建，常年驻守东南，官至扬州牧，大司马。228年石亭之战，大败，不久发背疽而死。,
曹林,41,曹,,Cao lin,魏,Wei,,256,,曹操,4,沛国谯,,沛国,谯,曹操第十子，一名豹。封沛王,
鱼豢,42,鱼,,Yu huan,魏，晋,Jin,,,,,,京兆,,京兆,,曹魏时人，入晋后不仕。著有《魏略》,
刘寔,43,刘,子真,Liu shi,汉，魏，晋,Jin,220,310,91,,,平原高唐,,平原,高唐,汉宗室，仕魏，晋,
程昱,44,程,仲德,Cheng yu,汉，魏,Wei,141,223,83,,,东郡东阿,,东郡,东阿,曹操谋士，为人刚戾。《魏晉世語》记其常以人肉充军粮。魏国建，任卫尉。,
王度,45,王,,Wang du,汉,EastHan,,,,,,,,东郡,东阿,东阿县县丞,
薛房,46,薛,,Xue fang,汉,EastHan,,,,,,,,东郡,东阿,东阿县大户,
刘岱,47,刘,公山,Liu dai,汉,EastHan,,192,,,,沛国,,沛国,,曹操将，任曹操司空长史。刘备杀车胄反曹操，曹操派刘岱与王忠攻刘备，不克。与汉宗室兖州刺史同名,
袁绍,48,袁,本初,Yuan shao,汉,EastHan,,202,,袁逢,#N/A,汝南汝阳,,汝南,汝阳,,
公孙瓒,49,公孙,伯圭,Gongsun zan,汉,EastHan,,199,,,,辽西令支,,辽西,令支,少与刘备同师事卢植。为辽东属国长史，击鲜卑，乌丸有功，升中郎将。后据幽州，杀州牧刘虞。自191年起与袁绍连年交战，终于199年败，自烧死,
范方,50,范,,Fan fang,汉,EastHan,,,,,,,,,,公孙瓒从事,
王彧,51,王,,Wang yu,汉,EastHan,,,,,,,,,,刘岱别驾,
荀彧,52,荀,文若,Xun yu,汉,EastHan,163,212,50,荀绲,#N/A,颍川颍阴,,颍川,颍阴,荀淑孙，曹操谋士。官至侍中兼光禄大夫,
张邈,53,张,孟卓,Zhang miao,汉,EastHan,,195,,,,东平寿张,,东平,寿张,八厨之一，长于袁绍。为陈留太守，讨董卓，败，归曹操。曹操讨陶谦，与陈宫叛迎吕布。与布奔刘备。后全家与弟张超为曹操所杀。本人为部下所杀,
吕布,54,吕,奉先,Lv bu,汉,EastHan,,199,,,,五原九原,,五原,九原,,
陈宫,55,陈,公台,Chen gong,汉,EastHan,,199,,,,東郡武阳,,东郡,武阳,初从曹操，后叛投吕布，为其谋士。布败，死,
氾嶷,56,氾,,Fan yi,汉,EastHan,,194,,,,,,,,吕布将,
靳允,57,靳,,Jin yun,汉,EastHan,,,,,,,,,,兖州范县令。 时陈宫叛迎吕布，兖州唯鄄城，东阿，范不动,
枣祗,58,枣,,Zao zhi,汉，魏,Wei,,,,,,,,,,陈宫叛迎吕布时，任东阿令，坚守。后首倡屯田,
薛悌,59,薛,孝威,Xue ti,汉，魏,Wei,,,,,,兖州,,东郡,,陈宫叛迎吕布时为兖州从事，官至曹魏尚书,
袁术,60,袁,公路,Yuan zhu,汉,EastHan,,199,,袁逢,#N/A,汝南汝阳,,汝南,汝阳,,
郭嘉,61,郭,奉孝,Guo jia,汉,EastHan,170,207,38,,,颍川阳翟,,颍川,阳翟,,
车胄,62,车,,Che zhou,汉,EastHan,,200,,,,,,,,任徐州刺史，为刘备所杀,
贾诩,63,贾,文和,Jia xu,汉，魏,Wei,147,223,77,贾龚,#N/A,武威姑臧,,武威,姑臧,,
袁谭,64,袁,显思,Yuan tan,汉,EastHan,,205,,袁绍,48,汝南汝阳,,汝南,汝阳,,
袁尚,65,袁,显甫,Yuan shang,汉,EastHan,,207,,袁绍,48,,,,,,
张飞,66,张,益德,Zhang fei,汉,EastHan,,221,,,,幽州,,涿郡,,,
田银,67,田,,Tian yin,汉,EastHan,,,,,,,,,,212年曹操征马超，与苏伯反河间,
苏伯,68,苏,,Su bo,汉,EastHan,,,,,,,,,,212年曹操征马超，与田银反河间,
贾信,69,贾,,Jia xin,汉,EastHan,,,,,,,,,,曹操将，讨田银苏伯乱,
邢贞,70,邢,,Xing zhen,汉,EastHan,,,,,,河间鄚,,河间,鄚,,
程晓,71,程,季明,Cheng xiao,魏,Wei,,,,,,东郡东阿,,东郡,东阿,程昱孙,
尹模,72,尹,,Yin mo,魏,Wei,,,,,,,,,,任曹魏抚军校事，多为不法,
辛评,73,辛,仲知,Xin ping,汉,EastHan,,204,,,,颍川阳翟,,颍川,阳翟,原属韩馥，后同郭图，荀谌共劝馥让冀州牧于袁绍。绍亡后辅袁谭。其兄毗降曹操，为审配所族诛,
郭图,74,郭,公则,Guo tu,汉,EastHan,,205,,,,颍川,,颍川,,原属韩馥，后同辛评，荀谌共劝馥让冀州牧于袁绍。绍亡后辅袁谭，为曹操所杀,
戏志才,75,戏,,Xi zhicai,汉,EastHan,,,,,,颍川,,颍川,,,
荀攸,76,荀,公达,Xun you,汉,EastHan,157,214,58,荀彝,#N/A,颍川颍阴,,颍川,颍阴,荀彧堂侄,
孙策,77,孙,伯符,Sun ce,汉,EastHan,175,200,26,孙坚,1061,吴郡富春,,吴郡,富春,,
许贡,78,许,,Xu gong,汉,EastHan,,,,,,,,,,吴郡太守，为孙策所杀,
逢纪,79,逢,元图,Feng ji,汉,EastHan,,202,,,,南阳,,南阳,,,
刘表,80,刘,景升,Liu biao,汉,EastHan,142,208,67,,,山阳高平,,山阳,高平,,
辛毗,81,辛,佐治,Xin pi,魏,Wei,,,,,,颍川阳翟,,颍川,阳翟,初随袁绍，后降曹，晚年为魏重臣,
蹋顿,82,蹋,,Ta dun,汉,EastHan,,207,,,,,,,,乌丸单于，收留袁尚，为曹操所攻灭,
袁熙,83,袁,显奕,Yuan xi,汉,EastHan,,207,,袁绍,48,,,,,袁谭异母弟，袁尚同母兄,
眭固,84,眭,白兔,Sui gu,汉,EastHan,,199,,,,,,,,本黑山贼，随袁术，败于曹操。后属张杨。杨丑杀张杨欲奔曹操，固又杀之。携众奔袁绍，途中为史涣截斩,
陈群,85,陈,长文,Chen qun,魏,Wei,,237,,陈纪,606,颍川许昌,,颍川,许昌,早年随刘备。避难徐州时为曹操所获，遂归魏,
董昭,86,董,公仁,Dong zhao,魏,Wei,156,236,81,,,济阴定陶,,济阴,定陶,,
李邵,87,李,永南,Li shao,魏,Wei,,225,,,,广汉郪,,广汉,郪,属刘备，尝任诸葛亮西曹掾,
李邵,88,李,,Li shao,汉,EastHan,,,,,,河内野王,,河内,野王,与蜀之李邵同名。尝任巨鹿太守，见董昭传,
孙伉,89,孙,,Sun kang,汉,EastHan,,,,,,,,,,巨鹿大姓， 为董昭所杀,
张吉,90,张,,Zhang ji,汉,EastHan,,,,,,冀州,,安平,,,
栗攀,91,栗,,Li pan,汉,EastHan,,193,,,,,,,,魏郡太守，属袁绍，为黑山贼于毒所杀,
董访,92,董,,Dong fang,汉,EastHan,,,,,,,,,,董昭弟,
张杨,93,张,稚叔,Zhang yang,汉,EastHan,,198,,,,并州,,云中,,,
李傕,94,李,稚然,Li jue,汉,EastHan,,198,,,,北地,,北地,,,
郭汜,95,郭,,Guo si,汉,EastHan,,197,,,,凉州张掖,,张掖,,,
韩暹,96,韩,,Han xian,汉,EastHan,,197,,,,,,,,本河东白波帅,
董承,97,董,,Dong cheng,汉,EastHan,,200,,,,,,,,汉献帝妃子董贵人之父，车骑将军。200年向刘备言有献帝衣带诏诛曹操。事泄，为曹操所杀,
杨奉,98,杨,,Yang feng,汉,EastHan,,197,,,,,,,,本河东白波帅，后随李傕。又奔袁术及吕布，为刘备所杀,
薛洪,99,薛,,Xue hong,汉,EastHan,,,,,,,,,,张扬属吏,
缪尚,100,缪,,Mou shang,汉,EastHan,,,,,,,,,,张扬属吏,
袁春卿,101,袁,,Yuan chunqing,汉,EastHan,,,,袁元长,102,,,,,绍同族，任魏郡太守，为曹操所攻。昔日曾为曹操所礼辟,
袁元长,102,袁,,Yuan yuanchang,汉,EastHan,,,,,,,,,,袁春卿父,
曹仁,103,曹,子孝,Cao ren,魏,Wei,168,223,56,曹炽,#N/A,沛国谯,,沛国,谯,曹操堂弟,
徐晃,104,徐,公明,Xu huang,魏,Wei,167,227,61,,,河东杨县,,河东,杨县,,
臧霸,105,臧,宣高,Zang ba,魏,Wei,164,231,68,臧戒,409,泰山华县,,泰山,华县,,
夏侯尚,106,夏侯,伯仁,Xiahou shang,魏,Wei,,226,,,,沛国谯,,沛国,谯,夏侯渊侄，任征南大将军,
石建,107,石,,Shi jian,魏,Wei,,,,,,,,,,随夏侯尚击吴，仅以身免,
高迁,108,高,,Gao qian,魏,Wei,,,,,,,,,,随夏侯尚击吴，仅以身免,
魏讽,109,魏,子京,Wei feng,汉,EastHan,,219,,,,,,,,钟繇西曹掾，谋反诛。时曹操征汉中，曹丕主其事,
曹伟,110,曹,,Cao wei,魏,Wei,,221,,,,山阳,,山阳,,世语：山阳曹伟，素有才名，闻吴称籓，以白衣与吴王交书求赂，欲以交结京师，帝闻而诛之,
诸葛诞,111,诸葛,公休,Zhuge dan,魏,Wei,,258,,,,琅邪阳都,,琅邪,阳都,亮堂弟,
刘晔,112,刘,子扬,Liu ye,魏,Wei,167,234,68,,,淮南成德,,淮南,成德,,
许劭,113,许,子将,Xu shao,汉,EastHan,150,195,46,,,汝南平舆,,汝南,平舆,,
许混,114,许,,Xu hun,魏,Wei,,,,许劭,113,汝南平舆,,汝南,平舆,许劭子。清醇有鉴识，魏明帝时为尚书,
郑宝,115,郑,,Zheng bao,汉,EastHan,,199,,,,,,,,聚众巢湖，为刘晔所灭,
张多,116,张,,Zhang duo,汉,EastHan,,,,,,,,,,扬州豪强,
许乾,117,许,,Xu gan,汉,EastHan,,,,,,,,,,扬州豪强,
刘勋,118,刘,子台,Liu xun,汉,EastHan,,,,,,琅琊,,琅琊,,早年为沛国建平长，与曹操有旧。后袁术任其为庐江太守，术死，刘勋获其大部。孙策忌之，伪与其结盟，而乘虚攻之。刘勋败，199年投曹操，任平虏将军。《魏略》言其日骄慢，数犯法，又诽谤，最终被收治,
陈策,119,陈,,Chen ce,汉,EastHan,,,,,,,,,,庐江山贼,
胡质,120,胡,文德,Hu zhi,魏,Wei,,250,,胡敏,881,寿春,,寿春,,,
张鲁,121,张,公祺,Zhang lu,汉,EastHan,,,,,,沛国丰县,,沛国,丰县,,
董卓,122,董,仲颖,Dong zhuo,汉,EastHan,,192,,,,陇西临洮,,陇西,临洮,,
孟达,123,孟,子敬,Meng da,魏,Wei,,228,,,,右扶风平陵,,右扶风,平陵,,
陆逊,124,陆,伯言,Lu xun,汉，吴,Wu,183,245,63,,,吴郡吴县,,吴郡,吴县,本名陆议，历任吴国大都督、上大将军、丞相,
卫臻,125,卫,公振,Wei zhen,魏,Wei,,,,卫兹,638,陈留襄邑,,陈留,襄邑,仕曹魏，官至司徒,
公孙渊,126,公孙,文懿,Gongsun yuan,魏,Wei,,238,,公孙康,773,辽东襄平,,辽东,襄平,公孙康庶子，自立为燕王，为司马懿所破,
杨暨,127,杨,休先,Yang ji,魏,Wei,,,,,,荥阳菀陵,,荥阳,菀陵,仕曹魏，官至中领军，明帝亲臣,
刘陶,128,刘,季治,Liu tao,魏,Wei,,,,刘晔,112,淮南成德,,淮南,成德,刘烨少子，善论纵横,
干宝,129,干,令升,Gan bao,晋,Jin,,336,,,,新蔡,,新蔡,,父祖仕吴，晋元帝时任著作郎,
张喜,130,张,,Zhang xi,汉,EastHan,,,,,,汝南蔡阳,,汝南,蔡阳,曾任汉司空，卸任后由曹操接。209年，合肥之战，张喜率援军抵挡孙权,
温恢,131,温,曼基,Wen hui,魏,Wei,178,223,46,,,太原祁,,太原,祁,,
封仁,132,封,,Feng ren,汉,EastHan,,,,,,,,,,曾任沛相，侍中,
司马懿,133,司马,仲达,Sima yi,魏,Wei,179,251,73,司马芳,170,河内温县,,河内,温县,,
朱然,134,朱,义封,Zhu ran,吴,Wu,182,249,68,,,丹阳故鄣,,丹阳,故鄣,本姓施。官至吴左大司马、右军师,
司马彪,135,司马,绍统,Sima biao,晋,Jin,,306,,司马睦,#N/A,河内温县,,河内,温县,司马懿六弟司马进之孙,
田豫,136,田,国让,Tian yu,汉,EastHan,,,,,,渔阳雍奴,,渔阳,雍奴,官至护匈奴中郎将、振威将军、领并州刺史，常年居外,
王雄,137,王,元伯,Wang xiong,魏,Wei,,,,,,琅琊临沂,,琅琊,临沂,任幽州刺史，遣刺客杀轲比能,
孙阿,138,孙,,Sun a,魏,Wei,,,,,,,,,,其人见《列异传》，太庙西讴士。,
高堂隆,139,高堂,升平,Gaotang long,魏,Wei,,237,,,,泰山东平阳,,泰山,东平阳,仕魏官至侍中、光禄勋,
秦朗,140,秦,元明,Qin lang,魏,Wei,,,,秦宜禄,1274,新兴云中,,新兴,云中,官至骁骑将军，为曹操养子，曹叡近臣。曹叡死时任骁骑将军。魏略编其人于佞幸传,
缪袭,141,缪,熙伯,Mou xi,魏,Wei,186,245,60,缪斐,572,东海兰陵,,东海,兰陵,有才学，官至尚书，光禄勋,
刘放,142,刘,子弃,Liu fang,魏,Wei,,250,,,,涿郡方城,,涿郡,方城,,
王松,143,王,,Wang song,汉,EastHan,,,,,,,,,,割据渔阳,
孙资,144,孙,彦龙,Sun zi,魏,Wei,,251,,,,太原中都,,太原,中都,,
王允,145,王,子师,Wang yun,汉,EastHan,137,192,56,,,太原祁,,太原,祁,,
贾逵,146,贾,梁道,Jia kui,魏,Wei,174,228,55,,,河东襄陵,,河东,襄陵,曹操死，逵典丧事,
夏侯渊,147,夏侯,妙才,Xiahou yuan,汉,EastHan,,219,,,,沛国谯,,沛国,谯,,
彭绮,148,彭,,Peng qi,魏,Wei,,,,,,,,,,鄱阳郡山越首领,
周贺,149,周,,Zhou he,吴,Wu,,232,,,,,,,,吴将，为田豫所杀,
智郁筑鞑,150,智,,Zhi yuzhuda,魏,Wei,,,,,,,,,,,
阎柔,151,阎,,Yan rou,魏,Wei,,,,,,广阳,,广阳,,,
满宠,152,满,伯宁,Man chong,魏,Wei,,242,,,,山阳昌邑,,山阳,昌邑,,
步骘,153,步,子山,Bu zhi,魏,Wei,,247,,,,临淮淮阴,,临淮,淮阴,,
徐邈,154,徐,景山,Xu miao,魏,Wei,171,249,79,,,燕国蓟,,燕国,蓟,,
杨丰,155,杨,伯阳,Yang feng,魏,Wei,,,,,,酒泉,,酒泉,,游侠,
曹宇,156,曹,彭祖,Cao yu,魏,Wei,,278,,曹操,4,沛国谯,,沛国,谯,曹操子，魏元帝曹奂父,
夏侯献,157,夏侯,,Xiahou xian,魏,Wei,,,,,,沛国谯,,沛国,谯,世系不明，曹叡死时任领军将军,
曹肇,158,曹,长思,Cao zhao,魏,Wei,,244,,曹休,40,沛国谯,,沛国,谯,曹休之子，曹叡死时任屯骑校尉,
王思,159,王,,Wang si,魏,Wei,,,,,,济阴,,济阴,,官至大司农，魏略以其为苛吏,
刘馥,160,刘,元颖,Liu fu,汉,EastHan,,208,,,,沛国相县,,沛国,相县,尝避难扬州。曹操表其为扬州刺史,
戚寄,161,戚,,Qi ji,汉,EastHan,,,,,,,,,,袁术将，后随刘馥降曹,
秦翊,162,秦,,Qin yi,汉,EastHan,,,,,,,,,,袁术将，后随刘馥降曹,
李术,163,李,,Li zhu,汉,EastHan,,,,,,,,汝南,,孙策破刘勋，以李术为庐江太守，截杀曹操任命的扬州刺史严象。孙策死，李术不服孙权，招降纳叛，不听孙权命令。孙权由是攻之，屠其城，枭首李术,
严象,164,严,文则,Yan xiang,汉,EastHan,163,200,38,,,京兆,,京兆,,奉曹操命讨袁术，术死，任扬州刺史，为李术所杀,
梅乾,165,梅,,Mei gan,汉,EastHan,,,,,,,,,,严象死后，与雷绪，陈兰割据江淮,
雷绪,166,雷,,Lei xu,汉,EastHan,,,,,,,,,,严象死后，与梅乾，陈兰割据江淮，不敌夏侯渊，209年左右转降刘备,
陈兰,167,陈,,Chen lan,汉,EastHan,,209,,,,,,,,严象死后，与雷绪，梅乾割据江淮，后为张辽所杀。一说陈策即陈兰,
刘靖,168,刘,文恭,Liu jing,魏,Wei,,254,,刘馥,160,沛国相县,,沛国,相县,刘馥子，官至镇北将军,
司马朗,169,司马,伯达,Sima lang,汉,EastHan,171,217,47,司马芳,170,河内温县,,河内,温县,司马懿兄，与董卓亡子同岁,
司马芳,170,司马,文豫,Sima fang,汉,EastHan,149,219,71,,,河内温县,,河内,温县,司马懿父,
赵咨,171,赵,君初,Zhao zi,魏,Wei,,,,,,河内温县,,河内,温县,明帝太和年间担任尚书、后官至太常，司马朗同县,
李觌,172,李,,Li di,汉,EastHan,,,,,,,,,,司马朗任兖州刺史，乡人李觌等盛有名誉，后败,
钟繇,173,钟,元常,Zhong yao,魏,Wei,151,230,80,,,颍川长社,,颍川,长社,,
王粲,174,王,仲宣,Wang can,汉,EastHan,177,217,41,王谦,501,山阳高平,,山阳,高平,,
夏侯惇,175,夏侯,元让,Xiahou dun,魏,Wei,,220,,,,沛国谯县,,沛国,谯县,,
梁习,176,梁,子虞,Liang xi,魏,Wei,,230,,,,陈郡柘,,陈郡,柘,汉末并州刺史,
高干,177,高,元才,Gao gan,汉,EastHan,,206,,,,,,,,袁绍外甥，任并州刺史，袁尚死，降曹，复叛，略河东，再败，走荆州，途经上洛，为都尉捕斩,
常林,178,常,伯槐,Chang lin,魏,Wei,,,83,,,河内温县,,河内,温县,尝任五官将功曹、平原太守、魏郡东部都尉和丞相东曹属。魏建，任少府，大司农，太常等。年83卒,
张景,179,张,,Zhang jing,魏,Wei,,,,,,,,,,梁习从事,
郤嘉,180,郤,,Xi jia,魏,Wei,,,,,,,,,,见魏略苛吏传,
刘类,181,刘,,Liu lei,魏,Wei,,,,,,,,,,见魏略苛吏传。言其苛慝尤其，唯善修人事才不废于世。嘉平中任弘农太守,
张既,182,张,德容,Zhang ji,魏,Wei,,223,,,,冯翊高陵,,冯翊,高陵,曹丕时任凉州太守。张缉父,
郭援,183,郭,,Guo yuan,汉,EastHan,,202,,,,,,,,钟繇之甥，袁尚署其为河东太守,
张晟,184,张,,Zhang sheng,汉,EastHan,,,,,,河内,,河内,,205年，高干投降曹操。晟率众万余人无所属，寇崤、渑间，南通刘表,
卫固,185,卫,仲坚,Wei gu,汉,EastHan,,206,,,,河东,,河东,,与张琰起兵应张晟，为钟繇所败，死,
张琰,186,张,,Zhang yan,汉,EastHan,,,,,,弘农,,弘农,,与卫固起兵应张晟，为钟繇所败，死,
马腾,187,马,寿成,Ma teng,汉,EastHan,,212,,,,陇西,,陇西,,马超父。《典略》称其为马援后人。其母为羌人。以讨贼累迁至征西将军。与镇西将军韩遂结为异姓兄弟，后更为仇敌，妻子为其所杀。建安年间，曹操征其宿卫京辅，家属皆徙邺。212年马超叛，阖族皆死。,
吴兰,188,吴,,Wu lan,汉,EastHan,,218,,,,,,,,刘备将，败于曹洪，为阴平氐强端所杀,
宋建,189,宋,,Song jian,汉,EastHan,,214,,,,陇西枹罕,,陇西,枹罕,自号“河首平汉王”，改年号，置百官，割据凉州三十余年。后为夏侯渊所讨平， 死,
胡轸,190,胡,文才,Hu zhen,汉,EastHan,,,,,,凉州,,,,属董卓，卓死，投王允，转投李傕。,
游殷,191,游,幼齐,You yin,汉,EastHan,,,,,,左冯翊频阳,,左冯翊,翊频阳,为胡轸所构杀,
游楚,192,游,仲允,You chu,汉,EastHan,,,,游殷,191,,,,,游殷子，任陇西太守，驸马都尉。粗人而有智,
颜俊,193,颜,,Yan jun,汉,EastHan,,,,,,武威,,武威,,举郡反，为和鸾所杀,
和鸾,194,和,,He luan,汉,EastHan,,,,,,张掖,,张掖,,举郡反，为王秘所杀,
黄华,195,黄,,Huang hua,魏,Wei,,253,,,,酒泉,,酒泉,,官至后将军，兖州刺史。王凌谋乱，以废立事告之，黄华反以此事白司马懿,
麹演,196,麹,,Qu yan,汉,EastHan,,220,,,,西平,,西平,,原韩遂将，与蒋石等杀遂。后举郡反，为苏则所杀,
王秘,197,王,,Wang mi,汉,EastHan,,,,,,武威,,武威,,杀和鸾,
邹岐,198,邹,,Zou qi,魏,Wei,,,,,,,,,,曹丕时任凉州刺史,
苏则,199,苏,文师,Su ze,魏,Wei,,223,,,,扶风武功,,扶风,武功,治凉州积年，后征为侍中,
夏侯儒,200,夏侯,俊林,Xiahou ru,魏,Wei,,,,,,沛国谯县,,沛国,谯县,夏侯尚从弟，尝任太仆,
费曜,201,费,,Fei yao,魏,Wei,,,,,,,,,,曹魏将领，一作费瑶。常年任职于雍、凉。220年讨斩张进，228年拒诸葛亮于陈仓。230年为后将军，败于魏延。231年为诸葛亮败于祁山。后事不详,
成公英,202,成,,Cheng gongying,魏,Wei,,,,,,金城,,金城,,早年随韩遂，后依曹操,
阎行,203,阎,彦明,Yan xing,魏,Wei,,,,,,,,,,韩遂将，后降曹操,
乙修,204,乙,,Yi xiu,魏,Wei,,,,,,,,,,曹魏樊城将，正始二年为朱然所围,
麹光,205,麹,,Qu guang,汉,EastHan,,,,,,西平,,西平,,杀郡守反，后为部属所杀,
庞延,206,庞,,Pang yan,汉,EastHan,,,,,,司隶扶风,,司隶,扶风,为张既所礼辟,
杨阜,207,杨,义山,Yang fu,汉,EastHan,,,,,,天水冀,,天水,冀,抗马超，杀其妻儿。,
胡遵,208,胡,,Hu zun,魏,Wei,,256,,,,安定临泾,,安定,临泾,常年随司马懿，为其腹心,
